sample_barcode	amplicon_index	amplicon_classification	amplicon_intervals
TCGA-E2-A109-01	37	Linear	20:51876652-51928842
TCGA-E2-A109-01	38	Heavily-rearranged	"20:55753081-58938169,20:58938329-58938865"
TCGA-E2-A109-01	39	Linear	20:60086217-62219837
TCGA-E2-A109-01	4	Linear	8:98650090-99787601
TCGA-E2-A109-01	40	Heavily-rearranged	"17:25568397-27267508,20:34415409-34435945"
TCGA-E2-A109-01	41	Linear	8:42353717-42539218
TCGA-E2-A109-01	42	Linear	8:77231202-77321059
TCGA-E2-A109-01	44	Linear	8:78979298-79204696
TCGA-E2-A109-01	45	Linear	8:79205134-80384964
TCGA-E2-A109-01	46	Heavily-rearranged	"8:77323623-78394149,8:78456055-78975698,8:80386460-82994684,GL000220.1:0-161802"
TCGA-E2-A109-01	47	Heavily-rearranged	"8:9070431-9070967,8:89523302-97231912"
TCGA-E2-A109-01	48	Linear	8:97290212-97428954
TCGA-E2-A109-01	5	Heavily-rearranged	17:45864938-49741242
TCGA-E2-A109-01	6	Linear	8:99789968-100350561
TCGA-E2-A109-01	7	Linear	8:100350743-114574126
TCGA-E2-A109-01	8	Heavily-rearranged	"7:138276673-138317209,17:9591736-9631452,17:13444555-13465131,17:15084013-15294548,17:16251779-18033455,17:18033868-18034404,17:67456712-69751146,17:73400963-73401499,17:74002275-80917016,20:10637056-11482785,20:13783933-14417197,20:21510329-21510865"
TCGA-E2-A109-01	9	Linear	8:114592700-138861287
TCGA-E2-A14P-01	1	Linear	3:171920056-172052782
TCGA-E2-A14P-01	10	Linear	16:63484176-63574341
TCGA-E2-A14P-01	11	Linear	16:65752939-66294812
TCGA-E2-A14P-01	13	Linear	20:58691208-58706552
TCGA-E2-A14P-01	14	Heavily-rearranged	"20:40534703-40535218,20:49174719-53603829,20:54541515-54542030"
TCGA-E2-A14P-01	15	Heavily-rearranged	"17:47381872-47382387,17:51559665-58724465"
TCGA-E2-A14P-01	17	Linear	17:60644043-62699079
TCGA-E2-A14P-01	19	Linear	20:43661094-44793115
TCGA-E2-A14P-01	20	Linear	20:47657642-48570021
TCGA-E2-A14P-01	21	Linear	20:48657746-49162241
TCGA-E2-A14P-01	22	Linear	"17:27288332-28334654,17:37600251-38566406,17:59998849-60643142"
TCGA-E2-A14P-01	23	Linear	20:49162576-49174124
TCGA-E2-A14P-01	25	Linear	20:55194542-55600742
TCGA-E2-A14P-01	26	Linear	20:55600789-56560555
TCGA-E2-A14P-01	5	Linear	6:104079736-106040346
TCGA-E2-A14P-01	6	Linear	6:106551402-106685576
TCGA-E2-A14P-01	8	Linear	16:57347390-62775825
TCGA-E2-A14X-01	1	Linear	2:103729417-103856441
TCGA-E2-A14X-01	10	Linear	8:95556883-95588450
TCGA-E2-A14X-01	11	Linear	8:95589205-95604669
TCGA-E2-A14X-01	12	Linear	8:95605017-95616980
TCGA-E2-A14X-01	13	Linear	8:95621819-95664858
TCGA-E2-A14X-01	14	Circular	"6:107287803-107327785,8:47460944-53931320,8:53933083-79856369,8:95669563-97220299,8:97220838-97734015,8:97738166-110902153,8:110902476-118785460,8:125147392-138412519,8:138412939-139143072,8:139144913-145232496,19:18834868-18835612,21:18033974-18346367,21:21956154-23720528"
TCGA-E2-A14X-01	2	Linear	8:85086774-95556588
TCGA-E2-A14X-01	3	Linear	2:103718953-103729321
TCGA-E2-A14X-01	4	Linear	2:103862501-104204896
TCGA-E2-A14X-01	5	Linear	8:40810321-41341803
TCGA-E2-A14X-01	6	Linear	21:23949137-24366178
TCGA-E2-A14X-01	7	Linear	"8:79859124-84386716,GL000220.1:0-161802"
TCGA-E2-A14X-01	8	Linear	8:84389228-85040369
TCGA-E2-A14X-01	9	Linear	8:85049068-85085979
TCGA-E2-A152-01	2	Heavily-rearranged	"4:33734486-33965005,7:57552435-57812954,17:16092760-16113279,17:20667785-20888304,17:21473848-21564367,20:26036444-26177871"
TCGA-E2-A152-01	4	Heavily-rearranged	"8:76925702-76926222,11:126084842-127122160,17:36410558-36816197,17:37586662-38255410,17:45598242-45598762,21:10860536-11011055,22:26298428-33023745,22:33601647-39927619,Y:13412027-13592546,Y:13742624-13943143,Y:58866578-59097097,GL000228.1:8315-129120,GL000216.1:0-172294,GL000193.1:0-114245,GL000225.1:0-211173"
TCGA-E2-A152-01	6	Linear	22:33395850-33533719
TCGA-E2-A15E-01	12	Linear	8:78551030-78583329
TCGA-E2-A15E-01	3	Linear	8:73252192-73455770
TCGA-E2-A15E-01	4	Heavily-rearranged	"5:58988074-58988337,7:80054462-82329961"
TCGA-E2-A15E-01	6	Linear	"8:141394685-144889172,8:145589581-145589844"
TCGA-E2-A15E-01	7	Linear	8:30792134-31294161
TCGA-E2-A15E-01	9	Linear	8:128254312-128601082
TCGA-E2-A15H-01	10	Linear	17:67604667-67847242
TCGA-E2-A15H-01	2	Linear	9:36073432-36117678
TCGA-E2-A15H-01	4	Heavily-rearranged	"17:54020917-55280694,17:72895376-73345814"
TCGA-E2-A15H-01	5	Linear	17:71514626-71816926
TCGA-E2-A15H-01	6	Linear	17:55374605-55504896
TCGA-E2-A15H-01	7	Linear	17:55580616-55910556
TCGA-E2-A15H-01	8	Linear	17:63486334-63953870
TCGA-E2-A15H-01	9	Heavily-rearranged	"8:34094750-34095223,8:38094941-38095414,17:36633247-41060740,17:50668171-51503300,17:57649544-59577908,17:60599796-62169494,17:62957028-63079910,17:64683370-66961848,17:71182357-71182830,17:76301198-76875673"
TCGA-E2-A15K-01	3	Heavily-rearranged	"11:55534654-55535180,11:55873797-56788187,11:68497103-70683560"
TCGA-E2-A15K-01	4	BFB	"11:65623525-65644050,11:65678257-66777376,11:80064986-80467610"
TCGA-E2-A1LG-01	1	Linear	8:34017836-42783715
TCGA-E2-A1LG-01	12	Linear	19:10112345-14018553
TCGA-E2-A1LG-01	13	Heavily-rearranged	"17:21985152-21985746,21:42467867-42940744"
TCGA-E2-A1LG-01	14	Circular	"17:21339756-21340350,17:21686155-21886749,21:39819539-39859473,21:40623470-41338777,21:44469703-44533240,21:45323672-45453904,21:45500259-46035399,21:46615351-48023522"
TCGA-E2-A1LG-01	2	Linear	8:42797956-42933372
TCGA-E2-A1LG-01	3	Circular	22:22096801-28379029
TCGA-E2-A1LG-01	4	Linear	19:6047014-10109179
TCGA-E2-A1LG-01	5	Linear	8:87547272-87577853
TCGA-E2-A1LG-01	6	Linear	8:92241459-93019652
TCGA-E2-A1LG-01	7	Linear	8:93020587-94143543
TCGA-E2-A1LG-01	8	Heavily-rearranged	"8:58519273-58539866,8:63596299-63735445,8:81200490-87491021,8:94144391-94144985,8:113131678-116974126,8:135054788-135715908,13:80362837-80363431"
TCGA-E2-A1LG-01	9	Linear	8:134515920-135051029
TCGA-E2-A1LK-01	10	Linear	10:62410180-62565144
TCGA-E2-A1LK-01	3	Linear	10:61707690-62406977
TCGA-E2-A1LK-01	4	Linear	"8:34338622-52288558,GL000232.1:0-40652"
TCGA-E2-A1LK-01	5	Circular	"2:171345862-171346418,8:52296649-140661968,X:31745880-31746436,X:118845273-118845829,GL000220.1:0-161802"
TCGA-E2-A1LK-01	6	Linear	8:140678418-145232496
TCGA-E2-A1LK-01	7	Linear	10:4202517-6398979
TCGA-E2-A1LK-01	8	Linear	10:55136042-55156304
TCGA-E2-A1LK-01	9	Heavily-rearranged	10:7831497-39064000
TCGA-E2-A1LL-01	3	Circular	14:67689226-68242940
TCGA-E6-A1LZ-01	1	Heavily-rearranged	"12:42446860-49003463,13:29387149-29387545,X:154052225-154052621"
TCGA-E6-A1LZ-01	3	Linear	18:20230314-22268207
TCGA-E6-A1LZ-01	4	Heavily-rearranged	"12:53825370-54331903,17:42279806-42280202"
TCGA-E6-A1LZ-01	5	Heavily-rearranged	"1:168005339-168045735,19:23562291-23562687,19:23722919-24072992,19:24150656-24151052"
TCGA-E6-A1LZ-01	6	Linear	19:33190599-33258339
TCGA-E6-A1LZ-01	7	Heavily-rearranged	"12:49005029-49005425,12:54335267-58040647"
TCGA-E6-A1LZ-01	8	Heavily-rearranged	"17:35932015-38373110,19:10645167-11208209"
TCGA-E7-A3X6-01	2	Circular	5:13246887-13526845
TCGA-EA-A1QS-01	1	Linear	22:47391717-47652957
TCGA-EA-A3HQ-01	2	Linear	8:128688984-129112256
TCGA-EA-A3HQ-01	4	Linear	13:100428084-100704224
TCGA-EA-A3HR-01	1	Heavily-rearranged	"3:100050371-101368776,17:62182759-62183227,19:38217792-41501217,19:43892822-45618740"
TCGA-EA-A3HR-01	2	Heavily-rearranged	"15:24451250-24451718,22:42581045-46827428"
TCGA-EA-A3QD-01	1	Circular	8:128560945-128760521
TCGA-EA-A3QD-01	2	BFB	"9:0-15811918,X:81804180-81804630,GL000220.1:0-161802"
TCGA-EA-A3QE-01	1	Linear	1:119603570-120527361
TCGA-EA-A3QE-01	2	Linear	1:61731889-62032604
TCGA-EB-A24C-01	1	Linear	3:89040720-90234866
TCGA-EB-A24C-01	2	Circular	"3:12916188-15825102,3:20919093-22541971,3:26549592-27585587,3:33081241-35234778,3:37573783-40271632,3:48061745-48792289,3:49746150-49946695,3:53346448-58889017,3:63426059-64030831,3:67677804-76459356,3:79438431-87609736,3:94356621-94703697,7:153279875-153280420,11:16587889-16608433"
TCGA-EB-A24D-01	1	Linear	8:134086337-145232496
TCGA-ED-A459-01	1	Linear	4:120746874-120856794
TCGA-EE-A20H-06	3	Heavily-rearranged	"1:121157011-121157527,2:225385292-226125032,5:49749069-50140612,5:165210314-165475306,5:169221768-170238893,12:40687555-45071596,12:49725952-54442504,19:24409084-24619600,X:61563638-61964154"
TCGA-EE-A29B-06	2	Linear	6:29286669-29323203
TCGA-EE-A29D-06	1	Heavily-rearranged	"1:119822649-120324791,1:160420127-161899213"
TCGA-EE-A29D-06	10	Linear	1:240106056-240437747
TCGA-EE-A29D-06	11	Linear	1:241188281-241553203
TCGA-EE-A29D-06	12	Linear	2:36815184-37261121
TCGA-EE-A29D-06	13	Heavily-rearranged	"17:6965592-6966136,22:17899861-22096802"
TCGA-EE-A29D-06	14	Heavily-rearranged	"1:214118511-214553757,1:220484848-220931734"
TCGA-EE-A29D-06	2	BFB	"1:72221163-74755156,1:231837149-232238033,1:245550884-246095586,11:37444441-37444985"
TCGA-EE-A29D-06	3	Linear	1:174590716-175192840
TCGA-EE-A29D-06	4	Linear	1:184680536-185141408
TCGA-EE-A29D-06	6	Heavily-rearranged	"1:157626675-158079615,1:183796378-184236553,1:208104591-208785243,1:210943573-211204320"
TCGA-EE-A29D-06	7	Heavily-rearranged	"1:164049370-164689294,1:176617527-176872439"
TCGA-EE-A29D-06	9	Linear	1:228671270-229289477
TCGA-EE-A29E-06	2	Linear	17:46799703-48620581
TCGA-EE-A29E-06	4	Linear	18:7596612-7874933
TCGA-EE-A29H-06	1	Heavily-rearranged	"3:50363920-79560604,Y:13338002-13598576,Y:58864105-59064678,GL000228.1:46677-129120,GL000216.1:0-172294,GL000225.1:0-211173"
TCGA-EE-A29H-06	12	Linear	7:144260331-144306288
TCGA-EE-A29H-06	3	BFB	"7:141818375-143583771,7:149966247-150166821"
TCGA-EE-A29H-06	4	Linear	7:136563490-141732665
TCGA-EE-A29R-06	3	Circular	"6:914280-57306485,22:32927954-32928504"
TCGA-EE-A29R-06	4	Heavily-rearranged	"5:141456412-141456962,8:15269366-15289915,12:34016785-34017335,13:28118145-115087458"
TCGA-EE-A29V-06	2	Circular	"1:114900911-149879545,9:140772257-140792773,21:10530951-10531468,GL000192.1:488181-488698"
TCGA-EE-A2A6-06	1	Linear	17:80471504-80671933
TCGA-EE-A2GC-06	1	Heavily-rearranged	"9:69177917-69198423,11:71579402-72057122"
TCGA-EE-A2M6-06	1	Linear	3:69470232-70137426
TCGA-EE-A2M6-06	2	Linear	3:88993368-90268778
TCGA-EE-A2M6-06	3	Linear	3:16067599-16923863
TCGA-EE-A2M6-06	4	Circular	8:128311141-130670048
TCGA-EE-A2M6-06	8	Heavily-rearranged	"5:178361563-178362100,7:77156478-119772966"
TCGA-EE-A2MH-06	4	BFB	"8:51127299-51454067,8:51531361-52765020,8:53495111-53495661,8:53937148-53957698,8:54047191-54214520,8:54772645-54973195,8:57840216-57840766,8:64065777-64335299,8:69561194-69561744,8:69903411-76581764,8:77580558-77581108,8:78227046-78399695,8:78669434-78697616,8:78942395-87847629,8:91686830-91687380,8:91954470-92026917,8:92109138-92129688,8:93350612-93371161,8:95949447-96433993,8:96680351-97085470,8:98570256-98805648,8:130762553-130783825,17:65022247-65022797,20:48278662-63025520,GL000220.1:0-161802"
TCGA-EE-A2MI-06	1	Heavily-rearranged	"1:119564598-120604592,1:143985455-144005933,16:68000301-74585534,GL000192.1:86485-131314,GL000192.1:143209-143687,GL000192.1:195178-231821,GL000192.1:245030-245508,GL000192.1:270184-310662,GL000192.1:326334-357624,GL000192.1:371083-404276"
TCGA-EE-A2MN-06	2	BFB	"6:24683430-24683948,22:31641617-37097998"
TCGA-EE-A2MN-06	3	Linear	17:20659552-21623007
TCGA-EE-A2MS-06	1	Circular	5:59625677-60030320
TCGA-EE-A2MS-06	11	Linear	12:75149656-75371395
TCGA-EE-A2MS-06	2	Linear	5:159903142-160030760
TCGA-EE-A2MS-06	3	Circular	12:75515072-77343903
TCGA-EE-A2MS-06	5	Circular	7:35407271-35738846
TCGA-EE-A2MS-06	6	Linear	7:53604870-53641382
TCGA-EE-A2MS-06	7	Circular	7:127938971-128126832
TCGA-EE-A2MS-06	9	Circular	"12:48375615-49372322,12:53204996-53205519,12:53896953-60146257,12:61966221-62410441,12:63033848-63034371,12:65683953-74423918,15:39974632-39995154,15:94888024-94888547"
TCGA-EE-A2MT-06	1	Circular	"5:112012058-112012563,6:63077829-69777014,X:118939032-118939537"
TCGA-EE-A3JI-06	1	Circular	6:4601129-14621968
TCGA-EE-A3JI-06	2	Heavily-rearranged	"3:115634762-115635409,12:67469088-75411408"
TCGA-EJ-5511-01	1	Linear	8:39040605-41236231
TCGA-EJ-7328-01	3	Linear	"14:106483697-106484154,15:20206511-20406968,15:20447200-20647657,15:21277684-26099606,16:33305828-33506285"
TCGA-EK-A2PL-01	1	Linear	5:36559020-41841349
TCGA-EK-A2PM-01	2	Linear	"1:242802614-243884308,1:243987488-244187915,1:245736759-245937186,5:109670224-109670652"
TCGA-EK-A2PM-01	3	Circular	1:175615788-175992396
TCGA-EK-A2R9-01	1	BFB	"3:167493132-167513813,3:167907857-173518342,3:184545353-184566033,Y:22167328-22168009"
TCGA-EK-A2RE-01	2	Linear	1:38389017-38709840
TCGA-EK-A2RE-01	3	BFB	13:66426092-66495089
TCGA-EK-A2RE-01	7	BFB	9:29105391-29563426
TCGA-EK-A2RL-01	1	Circular	19:42114913-42337023
TCGA-EK-A2RM-01	1	Linear	1:168799587-168825796
TCGA-EK-A2RM-01	11	BFB	"17:35668560-36312044,17:37246469-40640045"
TCGA-EK-A2RM-01	3	Linear	1:206637798-206765254
TCGA-EK-A2RM-01	4	Linear	8:70741285-71312216
TCGA-EK-A2RM-01	5	Linear	4:75506059-76566866
TCGA-EK-A2RM-01	7	Linear	8:75517176-75663550
TCGA-EK-A2RM-01	8	Linear	17:36836114-36986066
TCGA-EK-A3GJ-01	1	Linear	3:188898864-189278199
TCGA-EK-A3GM-01	1	Heavily-rearranged	"7:6857784-6858242,19:54872506-59128983,GL000232.1:0-40652"
TCGA-EK-A3GM-01	2	Linear	1:171468781-171713670
TCGA-EK-A3GM-01	3	Heavily-rearranged	"6:154215611-154216069,7:57594672-57805129,20:9478976-35301350"
TCGA-EK-A3GN-01	1	Linear	20:11905658-12294020
TCGA-EK-A3GN-01	3	Linear	5:814232-45478456
TCGA-EK-A3GN-01	6	Linear	19:9112430-11132614
TCGA-EO-A1Y8-01	1	Linear	5:2157485-2597161
TCGA-EO-A1Y8-01	11	Linear	7:101864484-102015980
TCGA-EO-A1Y8-01	12	Linear	7:102016502-102089969
TCGA-EO-A1Y8-01	13	Linear	7:155356959-155435655
TCGA-EO-A1Y8-01	15	Linear	8:40892228-42378742
TCGA-EO-A1Y8-01	16	Heavily-rearranged	"8:10964997-16781564,13:74313527-74314062"
TCGA-EO-A1Y8-01	17	Linear	8:91611777-128553474
TCGA-EO-A1Y8-01	18	Linear	8:128554775-129027695
TCGA-EO-A1Y8-01	19	Linear	8:144819457-145122093
TCGA-EO-A1Y8-01	2	Linear	3:48037908-48524356
TCGA-EO-A1Y8-01	21	Linear	9:35655987-35783149
TCGA-EO-A1Y8-01	3	Circular	"5:12892818-15331400,8:1723943-10959666"
TCGA-EO-A1Y8-01	4	Linear	5:2599033-5162228
TCGA-EO-A1Y8-01	5	Linear	5:7902524-10245935
TCGA-EO-A1Y8-01	6	BFB	5:15333011-29546723
TCGA-EO-A1Y8-01	7	Linear	5:29551130-31475908
TCGA-EO-A1Y8-01	8	Linear	5:31479532-32259772
TCGA-EO-A1Y8-01	9	Linear	5:32261559-41811844
TCGA-EP-A2KA-01	1	Heavily-rearranged	"7:113886295-114365901,7:115499796-117348838"
TCGA-EP-A2KA-01	10	Linear	8:81013949-81481443
TCGA-EP-A2KA-01	11	Linear	8:123796180-124939668
TCGA-EP-A2KA-01	12	Linear	3:171786698-172927672
TCGA-EP-A2KA-01	13	Linear	14:64145397-64190007
TCGA-EP-A2KA-01	2	Linear	8:80949277-81001674
TCGA-EP-A2KA-01	6	Heavily-rearranged	"5:131553244-132285876,5:132717791-132718573"
TCGA-EP-A2KA-01	8	Linear	7:106847034-106988073
TCGA-EP-A2KA-01	9	Linear	8:95664619-97652199
TCGA-EQ-5647-01	1	BFB	"3:70275883-78678888,3:78679210-78679803,3:125528982-125567317,11:127646189-127646782,19:29100170-29100763,Y:13334521-13542613,GL000222.1:34199-186861,GL000194.1:77684-191469"
TCGA-EQ-5647-01	11	Linear	"12:20880491-29168178,13:45142932-45143525"
TCGA-EQ-5647-01	12	Linear	12:53344829-53378353
TCGA-EQ-5647-01	13	Linear	12:58390873-59146036
TCGA-EQ-5647-01	3	Linear	2:12475213-12490757
TCGA-EQ-5647-01	4	Linear	2:15073794-16926088
TCGA-EQ-5647-01	6	Linear	12:74473964-74879776
TCGA-EQ-5647-01	7	Circular	"2:12499746-13175043,2:13175878-13176471,2:65819940-65820533,2:71188706-71209299,2:80961829-80962422,12:54428682-54429275,12:56231801-56539493,12:60367950-60368543,12:68049074-73181807,12:73667059-74253855,12:81558291-85600511,12:88102219-88102812,12:103417386-104649165,18:18747901-20633687,18:20634443-20635036,19:28396361-28416954,20:34376368-34801921,20:35031819-35605355,20:38578031-39666720,20:48693243-53477600,20:54777201-55186214,20:55194542-58202397,22:38769935-38811285"
TCGA-EQ-5647-01	8	Linear	20:46136331-46479865
TCGA-ER-A193-06	1	Circular	"12:66960644-70169427,12:95688142-98220947"
TCGA-ER-A193-06	3	BFB	9:3627145-6032328
TCGA-ER-A196-01	1	Circular	"10:5271855-5582294,10:5876286-6116910,10:7108200-10952379,10:10973071-11514238,10:11844579-23701204,10:26563550-27002489,10:28509496-28539325,10:29393864-29594487,10:30028535-30129159,10:30604983-30848876,20:38061294-38721751,20:47818304-48018928,20:49393841-49598387,20:49893633-50983011,20:51560304-51983621,20:52218761-52219385,20:52518978-63025520"
TCGA-ER-A197-06	1	Circular	"1:241888806-248975980,2:140894662-142466325,2:152877899-152878533,2:158428828-158704271,2:159256303-159686244,2:160634721-161122670,2:184929881-184930515,2:185610584-185823475,2:186780831-186981464,2:188433544-188434178,3:186336961-186337595,4:53104385-55332265,4:55734447-55946632,4:56367213-56976096,4:58192376-58193010,4:58422916-58623549,4:59096536-59297170,4:59601551-59954495,4:63560540-63940819,6:30384315-30584949,6:120330339-120530972,6:129514624-129515258,6:153537078-153537712,7:1617433-2144238,7:2148080-2148714,8:141650501-141651135,12:42645561-42869712,12:57885439-57906072,12:69023198-71933218,12:108469892-108470526,12:133161180-133161814,15:26170753-26371387,15:26489226-26691668,15:27657020-27901380,15:29400259-29600892,15:69338020-69669962,15:73716771-73737404,15:74552978-79295386,17:3189577-3390210,17:4021797-5124531,17:6316701-7280293,17:7612888-7613522,17:10607554-10994304,19:52866708-52887342,20:32719235-33079067,22:16868307-18216663,22:18549395-18750028,22:19529719-19530353,22:21158248-21158882,X:36010853-36771016,X:46387116-46612477,X:134542579-134580770"
TCGA-ER-A197-06	2	Heavily-rearranged	"2:100973508-100994141,2:151637209-151837843,6:9415446-9631277,6:11051085-11051719,6:11306353-11506987,12:96005472-96026106,12:110762983-110763617"
TCGA-ER-A197-06	5	Linear	22:22190123-22392995
TCGA-ER-A197-06	6	Heavily-rearranged	"2:134331893-134540153,4:72217835-74247348,6:5348514-5600863,6:8013411-8850916,15:25927962-25952370,15:71077957-71286567,X:4859437-4880941,X:6151159-6382572"
TCGA-ER-A19E-06	1	Linear	3:98393084-98600480
TCGA-ER-A19E-06	10	Linear	7:48675114-48761293
TCGA-ER-A19E-06	11	Linear	7:144703574-144763223
TCGA-ER-A19E-06	12	Linear	7:144782176-145296084
TCGA-ER-A19E-06	13	Linear	13:86632541-86643720
TCGA-ER-A19E-06	2	Linear	7:133235759-133693149
TCGA-ER-A19E-06	3	Linear	3:96746814-96830145
TCGA-ER-A19E-06	4	Linear	3:98601666-98877662
TCGA-ER-A19E-06	5	Heavily-rearranged	"7:117882078-117916475,7:118452611-133234049,7:133698271-141734394,7:141741080-141741640,7:143620310-144702790,7:145296212-150123802,7:152364797-155969660,17:60574423-60574983,GL000220.1:0-161802"
TCGA-ER-A19E-06	7	Linear	6:35147593-35281349
TCGA-ER-A19E-06	8	Linear	6:35615572-35672330
TCGA-ER-A19E-06	9	Linear	6:42430994-42640726
TCGA-ER-A19J-06	2	Linear	8:70961160-71901104
TCGA-ER-A19J-06	3	Linear	8:47460944-70952739
TCGA-ER-A19J-06	4	Heavily-rearranged	"8:71971470-145232496,X:45587340-45587834"
TCGA-ER-A19L-06	1	Linear	4:182742348-183059542
TCGA-ER-A19L-06	11	Linear	20:45023285-45048384
TCGA-ER-A19L-06	12	Linear	20:45127075-45182197
TCGA-ER-A19L-06	13	Linear	20:46640087-49162241
TCGA-ER-A19L-06	14	Linear	20:49162576-50269279
TCGA-ER-A19L-06	15	Linear	20:50598185-50613363
TCGA-ER-A19L-06	16	Linear	20:51514871-51686405
TCGA-ER-A19L-06	17	Linear	20:53276304-53326315
TCGA-ER-A19L-06	18	Linear	20:53349079-53381103
TCGA-ER-A19L-06	19	Linear	20:61975377-62219837
TCGA-ER-A19L-06	2	Linear	8:121764455-122908075
TCGA-ER-A19L-06	3	Linear	12:889901-2628811
TCGA-ER-A19L-06	4	Linear	20:15773400-16842646
TCGA-ER-A19L-06	6	Linear	20:16866776-17464091
TCGA-ER-A19L-06	7	Linear	20:40214880-40323235
TCGA-ER-A19L-06	8	Linear	20:40735893-40926675
TCGA-ER-A19L-06	9	Circular	"1:119830367-120527361,11:71696825-73152224,11:95994503-99501979,20:18638165-19700711,X:53748334-53748978,GL000220.1:1-161802,GL000225.1:0-158668"
TCGA-ER-A19Q-06	2	BFB	"11:57966609-57987211,11:65381978-89942613"
TCGA-ER-A19T-01	1	Linear	"4:33428925-33762866,4:34234877-34255754"
TCGA-ER-A19T-01	2	Heavily-rearranged	"4:38052652-44635845,GL000214.1:0-137718,GL000220.1:0-161802"
TCGA-ER-A19T-01	4	Circular	"2:33041362-33241939,8:46870944-50309859,8:51948590-52453873,8:52496017-52740782,8:53110807-53480193,8:53816069-55776114,11:49450355-49479219,11:65804446-71235386,11:71561276-71798869,11:72721423-72926849,11:72943707-79957097,11:84565712-90650128,11:100584773-101864315,15:20444264-20654841,15:21805106-22695684,15:45752652-53697375,15:54849500-55755753,X:5707465-5708043,Y:13203931-13204509,GL000196.1:1340-38914,GL000202.1:0-40103"
TCGA-ER-A19T-01	5	Linear	8:130093112-130891926
TCGA-ER-A3ES-06	1	Heavily-rearranged	"8:124414504-145332496,22:29065481-29066101"
TCGA-ER-A3ES-06	3	Linear	11:20815054-21137598
TCGA-ER-A3ES-06	4	Linear	11:25786851-25946581
TCGA-ER-A3ES-06	5	Heavily-rearranged	"8:55354834-55355454,11:1619691-1620311,11:63008749-79568537,GL000202.1:0-40103"
TCGA-EW-A1J5-01	1	BFB	"11:68776310-71007134,16:48521419-50689894"
TCGA-EW-A1J5-01	2	Linear	16:47860165-48324466
TCGA-EW-A1J5-01	3	Linear	16:48341207-48459558
TCGA-EW-A1P8-01	1	Linear	1:35722317-35951889
TCGA-EW-A1P8-01	11	Heavily-rearranged	"1:149879544-150646367,1:234472777-235521381,1:239540038-239560722"
TCGA-EW-A1P8-01	2	Linear	1:244009414-244047361
TCGA-EW-A1P8-01	3	Linear	4:52698756-60988148
TCGA-EW-A1P8-01	4	Heavily-rearranged	"18:15059552-15060237,21:14298834-17952916,21:18926143-19399725,GL000213.1:9588-164239,GL000215.1:0-172545"
TCGA-EW-A1P8-01	6	Linear	11:44074846-44247652
TCGA-EW-A1P8-01	7	Linear	20:10395064-10886912
TCGA-EW-A1P8-01	9	Linear	21:24643635-24844015
TCGA-EW-A1PB-01	1	Linear	21:15247620-23730190
TCGA-EW-A1PC-01	1	Linear	3:74447089-74584605
TCGA-EW-A1PC-01	12	Linear	14:37796372-38220322
TCGA-EW-A1PC-01	13	Linear	14:44535126-51121534
TCGA-EW-A1PC-01	14	Circular	"3:74884080-75855018,19:27840934-32089867,X:124913742-124914458"
TCGA-EW-A1PC-01	15	Linear	5:21392334-45378456
TCGA-EW-A1PC-01	4	Linear	3:88904421-90425029
TCGA-EW-A1PC-01	5	Linear	5:914232-15331400
TCGA-EW-A1PC-01	6	Linear	20:30117434-38979400
TCGA-EW-A1PC-01	7	Linear	5:15333011-21295569
TCGA-EW-A1PC-01	8	Linear	9:789931-5721253
TCGA-EW-A1PC-01	9	Linear	9:5728917-8901739
TCGA-EW-A1PH-01	1	Linear	"1:155936657-157622285,1:242974133-242974919"
TCGA-EW-A1PH-01	10	Linear	22:29451524-29853083
TCGA-EW-A1PH-01	11	Heavily-rearranged	"22:43489181-43611760,GL000231.1:0-27386,GL000220.1:0-161802"
TCGA-EW-A1PH-01	2	Heavily-rearranged	"8:47460944-53875281,11:38792680-38813465,12:20706378-20707164,19:4961260-4962046"
TCGA-EW-A1PH-01	3	Linear	2:194114092-194800913
TCGA-EW-A1PH-01	4	Linear	2:195176212-195235496
TCGA-EW-A1PH-01	6	Linear	7:16270387-16407376
TCGA-EW-A1PH-01	7	Linear	8:128453764-145232496
TCGA-EW-A1PH-01	8	Linear	16:10231315-11692658
TCGA-EW-A1PH-01	9	BFB	"1:38295346-39213721,1:164020789-164021575,2:101411117-101411903,2:191481204-194106604,2:194801472-194802258,4:61480621-61481407,8:35144218-39703099,14:24855458-27079776,18:10462586-10463372,19:27863224-33748513,19:35807755-41211056,20:26219848-26220634"
TCGA-EW-A3U0-01	10	Linear	6:116603911-117692859
TCGA-EW-A3U0-01	11	Linear	6:124895305-135882021
TCGA-EW-A3U0-01	12	Linear	11:41434517-41665372
TCGA-EW-A3U0-01	13	Linear	11:44000668-44082402
TCGA-EW-A3U0-01	14	Linear	11:45326248-45348417
TCGA-EW-A3U0-01	17	Circular	6:118543806-119597517
TCGA-EW-A3U0-01	2	Linear	6:100406618-102076349
TCGA-EW-A3U0-01	8	Linear	11:28365866-29036963
TCGA-EW-A3U0-01	9	Linear	6:111288531-111307468
TCGA-EX-A3L1-01	1	BFB	"11:83092193-83292658,11:89503612-89704078,11:89754919-89755385,11:90169870-90192815,11:90510034-104156051"
TCGA-EY-A1GC-01	2	Heavily-rearranged	"1:149328335-149328934,1:149779544-154735661,3:65120257-65398188,3:134164409-134165008,8:86935779-86936378,8:128543162-129032233,X:45587190-45587789"
